order_id,city,courier_id,origin_lat,origin_lng,dest_lat,dest_lng,order_time,delivery_time,healthcare_product
TECH-ORD-0052,Chennai,C013,16.03876,79.251008,16.047342,79.254298,2024-06-01 13:47:00,2024-06-01 14:05:00,Vitamins
TECH-ORD-0053,Mumbai,C010,19.702665,78.089347,19.709255,78.094182,2024-06-02 15:55:00,2024-06-02 16:32:00,Glucose Meter
TECH-ORD-0054,Ahmedabad,C012,25.53062,77.534216,25.533724,77.541024,2024-06-02 08:30:00,2024-06-02 08:45:00,BP Monitor
TECH-ORD-0055,Hyderabad,C017,20.812931,82.742637,20.814817,82.744279,2024-06-01 10:36:00,2024-06-01 11:20:00,Glucose Meter
TECH-ORD-0056,Chennai,C011,15.681725,77.741248,15.688877,77.744718,2024-06-03 08:10:00,2024-06-03 08:28:00,BP Monitor
TECH-ORD-0057,Jaipur,C009,12.644695,77.267302,12.649329,77.271953,2024-06-02 23:35:00,2024-06-02 23:45:00,BP Monitor
TECH-ORD-0058,Kolkata,C017,28.533558,87.623224,28.541068,87.626113,2024-06-01 23:57:00,2024-06-02 00:40:00,First Aid Kit
TECH-ORD-0059,Lucknow,C018,24.772693,83.993753,24.776511,83.996444,2024-06-03 07:38:00,2024-06-03 08:14:00,First Aid Kit
TECH-ORD-0060,Chennai,C015,19.787039,81.380855,19.789194,81.390345,2024-06-01 08:39:00,2024-06-01 09:20:00,Inhaler
TECH-ORD-0061,Pune,C011,16.158001,79.274194,16.165216,79.277891,2024-06-03 00:04:00,2024-06-03 00:15:00,Sanitizer
TECH-ORD-0062,Lucknow,C002,27.447789,74.940296,27.454457,74.946723,2024-06-03 01:29:00,2024-06-03 02:04:00,First Aid Kit
TECH-ORD-0063,Ahmedabad,C007,27.86655,73.512473,27.87051,73.52213,2024-06-03 03:37:00,2024-06-03 04:06:00,Vitamins
TECH-ORD-0064,Mumbai,C006,14.180515,81.294998,14.185912,81.297678,2024-06-01 12:44:00,2024-06-01 13:18:00,Vitamins
TECH-ORD-0065,Hyderabad,C007,16.266638,82.97831,16.272305,82.980857,2024-06-02 12:02:00,2024-06-02 12:37:00,Face Mask
TECH-ORD-0066,Delhi,C004,14.596893,79.15055,14.606025,79.153408,2024-06-01 22:02:00,2024-06-01 22:31:00,Sanitizer
TECH-ORD-0067,Ahmedabad,C016,15.068463,81.638012,15.075913,81.643143,2024-06-01 21:46:00,2024-06-01 21:56:00,Glucose Meter
TECH-ORD-0068,Delhi,C015,13.542466,78.848384,13.551659,78.857297,2024-06-02 15:24:00,2024-06-02 16:03:00,Thermometer
TECH-ORD-0069,Lucknow,C002,24.451729,77.076924,24.459032,77.084328,2024-06-02 04:18:00,2024-06-02 04:53:00,Inhaler
TECH-ORD-0070,Lucknow,C006,19.226209,75.353933,19.230671,75.360865,2024-06-03 07:41:00,2024-06-03 07:57:00,Inhaler
TECH-ORD-0071,Ahmedabad,C002,16.378539,86.344141,16.382166,86.353388,2024-06-03 07:39:00,2024-06-03 08:02:00,BP Monitor
TECH-ORD-0072,Kolkata,C014,28.58662,81.281431,28.588567,81.289329,2024-06-02 06:15:00,2024-06-02 06:51:00,Face Mask
TECH-ORD-0073,Kolkata,C006,16.594063,80.537891,16.601313,80.545638,2024-06-02 10:01:00,2024-06-02 10:32:00,Sanitizer
TECH-ORD-0074,Ahmedabad,C007,18.918418,72.679067,18.922362,72.686805,2024-06-02 17:05:00,2024-06-02 17:44:00,Inhaler
TECH-ORD-0075,Mumbai,C003,21.393543,76.345273,21.401927,76.353848,2024-06-01 19:38:00,2024-06-01 19:49:00,Face Mask
TECH-ORD-0076,Lucknow,C004,15.376062,74.467376,15.383104,74.468477,2024-06-02 02:39:00,2024-06-02 02:58:00,Inhaler
TECH-ORD-0077,Kolkata,C012,15.390485,83.859801,15.395464,83.861231,2024-06-03 03:20:00,2024-06-03 04:03:00,Glucose Meter
TECH-ORD-0078,Mumbai,C013,23.685581,79.550362,23.689977,79.553177,2024-06-02 01:02:00,2024-06-02 01:35:00,First Aid Kit
TECH-ORD-0079,Chennai,C007,13.990246,79.201498,13.992975,79.208518,2024-06-01 23:03:00,2024-06-01 23:19:00,BP Monitor
TECH-ORD-0080,Delhi,C006,13.219315,80.645205,13.225956,80.651827,2024-06-02 20:58:00,2024-06-02 21:33:00,BP Monitor
TECH-ORD-0081,Ahmedabad,C004,16.261479,74.173876,16.268365,74.174984,2024-06-01 22:31:00,2024-06-01 23:10:00,Glucose Meter
TECH-ORD-0082,Chennai,C003,23.161458,76.918355,23.170427,76.923055,2024-06-03 00:52:00,2024-06-03 01:33:00,Face Mask
TECH-ORD-0083,Mumbai,C018,25.319792,87.158399,25.321645,87.162318,2024-06-03 03:04:00,2024-06-03 03:38:00,BP Monitor
TECH-ORD-0084,Delhi,C011,15.344115,84.620849,15.351113,84.622457,2024-06-01 09:12:00,2024-06-01 09:50:00,Thermometer
TECH-ORD-0085,Ahmedabad,C017,22.879339,76.205333,22.882432,76.21188,2024-06-01 16:28:00,2024-06-01 16:57:00,Vitamins
TECH-ORD-0086,Chennai,C014,24.75858,82.351774,24.762249,82.354139,2024-06-01 21:57:00,2024-06-01 22:09:00,Inhaler
TECH-ORD-0087,Chennai,C020,28.522079,79.547932,28.525937,79.556015,2024-06-01 10:42:00,2024-06-01 11:25:00,Face Mask
TECH-ORD-0088,Ahmedabad,C010,24.663582,76.138114,24.666435,76.139601,2024-06-03 05:23:00,2024-06-03 05:48:00,Face Mask
TECH-ORD-0089,Chennai,C020,26.631505,80.793999,26.633086,80.799424,2024-06-01 21:08:00,2024-06-01 21:21:00,Sanitizer
TECH-ORD-0090,Delhi,C007,14.535065,75.26735,14.537904,75.272917,2024-06-02 13:05:00,2024-06-02 13:44:00,First Aid Kit
TECH-ORD-0091,Hyderabad,C006,24.184644,76.389286,24.188212,76.394321,2024-06-03 03:23:00,2024-06-03 03:45:00,BP Monitor
TECH-ORD-0092,Hyderabad,C016,13.794224,87.956983,13.799196,87.962531,2024-06-02 13:35:00,2024-06-02 13:54:00,Face Mask
TECH-ORD-0093,Kolkata,C001,24.834919,79.303746,24.838621,79.309581,2024-06-02 21:44:00,2024-06-02 22:05:00,Inhaler
TECH-ORD-0094,Hyderabad,C013,20.008653,79.71441,20.0103,79.71664,2024-06-02 16:02:00,2024-06-02 16:24:00,Vitamins
TECH-ORD-0095,Delhi,C007,12.572332,86.197802,12.576973,86.202544,2024-06-02 10:56:00,2024-06-02 11:29:00,Vitamins
TECH-ORD-0096,Ahmedabad,C016,17.47796,88.209301,17.487892,88.211421,2024-06-02 22:36:00,2024-06-02 22:56:00,First Aid Kit
TECH-ORD-0097,Chennai,C014,28.010001,84.760171,28.017383,84.766885,2024-06-02 09:08:00,2024-06-02 09:21:00,Glucose Meter
TECH-ORD-0098,Ahmedabad,C014,24.40845,76.359673,24.415129,76.366761,2024-06-03 07:36:00,2024-06-03 07:55:00,Vitamins
TECH-ORD-0099,Hyderabad,C020,19.873712,83.331,19.883278,83.339574,2024-06-01 08:50:00,2024-06-01 09:07:00,First Aid Kit
TECH-ORD-0100,Mumbai,C013,18.950224,81.820322,18.952923,81.825128,2024-06-02 13:08:00,2024-06-02 13:34:00,First Aid Kit
TECH-ORD-0101,Hyderabad,C017,28.174127,82.966088,28.178832,82.974976,2024-06-03 09:40:00,2024-06-03 09:55:00,Sanitizer
TECH-ORD-0102,Mumbai,C019,25.07525,77.98082,25.08462,77.985402,2024-06-02 05:01:00,2024-06-02 05:11:00,Face Mask
TECH-ORD-0103,Delhi,C016,12.529499,73.610979,12.53639,73.618576,2024-06-01 19:38:00,2024-06-01 19:59:00,Sanitizer
TECH-ORD-0104,Pune,C006,23.899204,75.657496,23.90426,75.665825,2024-06-01 20:40:00,2024-06-01 21:02:00,Sanitizer
TECH-ORD-0105,Bangalore,C006,25.618353,75.558401,25.623319,75.567618,2024-06-01 15:27:00,2024-06-01 15:47:00,Sanitizer
TECH-ORD-0106,Mumbai,C010,13.87974,74.47303,13.882853,74.478397,2024-06-01 14:52:00,2024-06-01 15:02:00,Inhaler
TECH-ORD-0107,Bangalore,C009,24.680788,72.624656,24.682659,72.630357,2024-06-01 08:29:00,2024-06-01 09:03:00,Thermometer
TECH-ORD-0108,Lucknow,C017,28.496371,84.605152,28.500405,84.610017,2024-06-02 09:18:00,2024-06-02 09:49:00,Glucose Meter
TECH-ORD-0109,Pune,C008,27.741624,83.06589,27.745828,83.069862,2024-06-01 14:50:00,2024-06-01 15:00:00,BP Monitor
TECH-ORD-0110,Kolkata,C013,24.241344,86.62077,24.250165,86.624285,2024-06-03 07:44:00,2024-06-03 08:09:00,Thermometer
TECH-ORD-0111,Pune,C015,22.516801,82.974393,22.519493,82.984268,2024-06-02 05:59:00,2024-06-02 06:10:00,Inhaler
TECH-ORD-0112,Pune,C002,28.211039,84.194098,28.2164,84.201751,2024-06-01 13:33:00,2024-06-01 14:05:00,Thermometer
TECH-ORD-0113,Ahmedabad,C016,28.495422,86.132576,28.499067,86.135331,2024-06-01 17:46:00,2024-06-01 18:29:00,Sanitizer
TECH-ORD-0114,Lucknow,C017,13.006023,80.423655,13.01599,80.43354,2024-06-02 15:52:00,2024-06-02 16:12:00,First Aid Kit
TECH-ORD-0115,Kolkata,C004,20.305998,81.090028,20.315495,81.097328,2024-06-01 15:12:00,2024-06-01 15:49:00,BP Monitor
TECH-ORD-0116,Bangalore,C006,27.547526,77.68697,27.554999,77.693963,2024-06-03 05:46:00,2024-06-03 06:03:00,Sanitizer
TECH-ORD-0117,Delhi,C018,22.769391,80.318801,22.772406,80.324984,2024-06-03 01:00:00,2024-06-03 01:14:00,Inhaler
TECH-ORD-0118,Pune,C013,27.249208,84.316267,27.257274,84.325963,2024-06-02 13:49:00,2024-06-02 14:13:00,Sanitizer
TECH-ORD-0119,Chennai,C009,14.36596,73.898929,14.375395,73.906631,2024-06-01 15:55:00,2024-06-01 16:28:00,Inhaler
TECH-ORD-0120,Delhi,C011,27.945945,81.664215,27.951766,81.67284,2024-06-02 12:55:00,2024-06-02 13:25:00,Thermometer
TECH-ORD-0121,Pune,C005,20.914415,82.063627,20.92026,82.068772,2024-06-01 17:52:00,2024-06-01 18:20:00,First Aid Kit
TECH-ORD-0122,Chennai,C016,23.511359,74.849004,23.520001,74.857454,2024-06-01 10:20:00,2024-06-01 10:50:00,Thermometer
TECH-ORD-0123,Hyderabad,C017,28.553366,74.467208,28.55867,74.475666,2024-06-02 17:47:00,2024-06-02 18:15:00,BP Monitor
TECH-ORD-0124,Ahmedabad,C002,28.401071,77.791211,28.408665,77.799504,2024-06-03 07:48:00,2024-06-03 08:01:00,Sanitizer
TECH-ORD-0125,Delhi,C016,24.290107,77.263966,24.292539,77.26516,2024-06-02 10:46:00,2024-06-02 11:17:00,Sanitizer
TECH-ORD-0126,Ahmedabad,C016,28.540913,84.548212,28.54446,84.55548,2024-06-01 21:19:00,2024-06-01 22:04:00,BP Monitor
TECH-ORD-0127,Ahmedabad,C004,14.622199,84.467138,14.630847,84.474525,2024-06-02 15:14:00,2024-06-02 15:34:00,Face Mask
TECH-ORD-0128,Lucknow,C005,19.666461,80.165019,19.6747,80.16778,2024-06-03 04:27:00,2024-06-03 04:37:00,Thermometer
TECH-ORD-0129,Pune,C019,14.158724,84.986969,14.168568,84.994084,2024-06-01 19:29:00,2024-06-01 19:42:00,Glucose Meter
TECH-ORD-0130,Mumbai,C012,28.272421,75.365768,28.279272,75.372109,2024-06-01 18:08:00,2024-06-01 18:43:00,Glucose Meter
TECH-ORD-0131,Chennai,C002,14.420655,78.808575,14.423207,78.816282,2024-06-03 07:13:00,2024-06-03 07:28:00,First Aid Kit
TECH-ORD-0132,Kolkata,C013,16.955846,82.878208,16.95759,82.883611,2024-06-03 05:39:00,2024-06-03 06:21:00,Vitamins
TECH-ORD-0133,Chennai,C001,22.006568,88.202729,22.008419,88.209065,2024-06-02 10:12:00,2024-06-02 10:52:00,Face Mask
TECH-ORD-0134,Ahmedabad,C010,21.748324,74.089294,21.756481,74.091958,2024-06-03 07:50:00,2024-06-03 08:01:00,Inhaler
TECH-ORD-0135,Ahmedabad,C018,25.7435,84.948524,25.752034,84.954375,2024-06-03 04:29:00,2024-06-03 04:46:00,Inhaler
TECH-ORD-0136,Chennai,C004,15.420358,82.026826,15.428563,82.028933,2024-06-01 16:47:00,2024-06-01 17:10:00,Vitamins
TECH-ORD-0137,Delhi,C003,21.603139,86.047655,21.608694,86.051927,2024-06-02 21:09:00,2024-06-02 21:29:00,Thermometer
TECH-ORD-0138,Ahmedabad,C001,16.531977,73.242136,16.535617,73.247943,2024-06-01 17:32:00,2024-06-01 18:13:00,Vitamins
TECH-ORD-0139,Pune,C017,27.256811,88.349287,27.264002,88.35625,2024-06-01 11:03:00,2024-06-01 11:28:00,Inhaler
TECH-ORD-0140,Bangalore,C007,14.789315,86.104438,14.795284,86.110764,2024-06-02 02:56:00,2024-06-02 03:14:00,BP Monitor
TECH-ORD-0141,Lucknow,C014,13.702262,76.562054,13.706863,76.563804,2024-06-02 01:21:00,2024-06-02 01:58:00,Face Mask
TECH-ORD-0142,Delhi,C018,15.796347,82.512797,15.803157,82.520227,2024-06-02 22:28:00,2024-06-02 23:10:00,First Aid Kit
TECH-ORD-0143,Lucknow,C006,19.30877,74.939186,19.310003,74.945618,2024-06-01 13:17:00,2024-06-01 13:44:00,BP Monitor
TECH-ORD-0144,Mumbai,C018,14.273159,81.221867,14.277425,81.225869,2024-06-02 02:39:00,2024-06-02 02:58:00,Sanitizer
TECH-ORD-0145,Chennai,C009,12.669161,78.494353,12.671106,78.503683,2024-06-01 19:59:00,2024-06-01 20:42:00,Glucose Meter
TECH-ORD-0146,Hyderabad,C019,25.80634,80.288945,25.815128,80.294909,2024-06-03 01:28:00,2024-06-03 01:44:00,Face Mask
TECH-ORD-0147,Bangalore,C006,17.645155,84.460901,17.652255,84.469,2024-06-02 21:39:00,2024-06-02 22:14:00,Vitamins
TECH-ORD-0148,Kolkata,C019,14.566941,72.64412,14.569078,72.648529,2024-06-02 02:15:00,2024-06-02 02:28:00,Thermometer
TECH-ORD-0149,Pune,C008,23.486242,79.148855,23.490428,79.154073,2024-06-02 03:34:00,2024-06-02 04:01:00,Sanitizer
TECH-ORD-0150,Ahmedabad,C017,27.761448,86.510168,27.770169,86.519695,2024-06-02 11:45:00,2024-06-02 12:15:00,Face Mask
TECH-ORD-0151,Mumbai,C003,13.734303,76.318091,13.736064,76.321663,2024-06-02 17:38:00,2024-06-02 17:48:00,Glucose Meter
TECH-ORD-0152,Ahmedabad,C017,27.605507,74.672914,27.612598,74.678705,2024-06-01 16:30:00,2024-06-01 17:05:00,Face Mask
TECH-ORD-0153,Bangalore,C020,15.571127,85.717719,15.576936,85.721824,2024-06-03 05:08:00,2024-06-03 05:51:00,Inhaler
TECH-ORD-0154,Lucknow,C002,22.342942,87.845532,22.348654,87.848558,2024-06-01 13:07:00,2024-06-01 13:40:00,BP Monitor
TECH-ORD-0155,Delhi,C017,18.223233,73.302824,18.232961,73.306866,2024-06-03 06:21:00,2024-06-03 06:46:00,Sanitizer
TECH-ORD-0156,Jaipur,C004,17.194344,80.171727,17.201024,80.17627,2024-06-02 04:48:00,2024-06-02 05:30:00,BP Monitor
TECH-ORD-0157,Bangalore,C015,26.949551,85.978911,26.954694,85.982596,2024-06-01 15:18:00,2024-06-01 15:28:00,Sanitizer
TECH-ORD-0158,Pune,C006,19.012119,72.634884,19.017881,72.643971,2024-06-02 12:02:00,2024-06-02 12:19:00,BP Monitor
TECH-ORD-0159,Kolkata,C001,15.015734,82.938379,15.019428,82.943234,2024-06-01 20:26:00,2024-06-01 21:10:00,Face Mask
TECH-ORD-0160,Hyderabad,C004,28.526569,82.927644,28.534293,82.928696,2024-06-03 08:24:00,2024-06-03 08:46:00,Thermometer
TECH-ORD-0161,Mumbai,C007,17.113797,74.622142,17.115082,74.629137,2024-06-02 16:43:00,2024-06-02 17:10:00,First Aid Kit
TECH-ORD-0162,Mumbai,C014,20.426534,80.372073,20.434293,80.380096,2024-06-02 11:17:00,2024-06-02 11:59:00,Vitamins
TECH-ORD-0163,Ahmedabad,C005,14.268094,74.208396,14.273594,74.216303,2024-06-02 00:08:00,2024-06-02 00:21:00,Thermometer
TECH-ORD-0164,Pune,C014,28.316991,84.220951,28.322364,84.228799,2024-06-02 00:54:00,2024-06-02 01:13:00,BP Monitor
TECH-ORD-0165,Jaipur,C006,16.548645,84.700854,16.551871,84.70924,2024-06-01 21:32:00,2024-06-01 22:12:00,Face Mask
TECH-ORD-0166,Mumbai,C017,22.406925,75.502415,22.409263,75.504499,2024-06-02 11:23:00,2024-06-02 11:35:00,Thermometer
TECH-ORD-0167,Hyderabad,C007,27.553722,79.270036,27.555181,79.274702,2024-06-02 04:55:00,2024-06-02 05:19:00,Inhaler
TECH-ORD-0168,Chennai,C011,19.40097,73.466494,19.402961,73.470766,2024-06-02 07:57:00,2024-06-02 08:33:00,Inhaler
TECH-ORD-0169,Chennai,C011,26.990732,75.393059,26.994626,75.396627,2024-06-02 03:07:00,2024-06-02 03:23:00,Face Mask
TECH-ORD-0170,Ahmedabad,C006,16.583347,80.303683,16.590368,80.31083,2024-06-01 16:53:00,2024-06-01 17:24:00,BP Monitor
TECH-ORD-0171,Pune,C012,24.537593,81.858451,24.541077,81.86471,2024-06-01 13:57:00,2024-06-01 14:13:00,Inhaler
TECH-ORD-0172,Delhi,C020,14.457984,81.829414,14.460698,81.836756,2024-06-01 14:44:00,2024-06-01 14:58:00,Face Mask
TECH-ORD-0173,Jaipur,C020,18.06474,84.027115,18.072227,84.02851,2024-06-01 21:05:00,2024-06-01 21:41:00,Vitamins
TECH-ORD-0174,Jaipur,C009,26.950626,84.574954,26.954752,84.579248,2024-06-03 02:59:00,2024-06-03 03:16:00,Face Mask
TECH-ORD-0175,Ahmedabad,C003,20.330743,80.833646,20.333245,80.837113,2024-06-01 16:48:00,2024-06-01 17:16:00,Vitamins
TECH-ORD-0176,Bangalore,C019,13.478657,87.968627,13.484112,87.974419,2024-06-02 19:03:00,2024-06-02 19:17:00,BP Monitor
TECH-ORD-0177,Delhi,C015,24.667378,78.606009,24.670821,78.608665,2024-06-01 18:55:00,2024-06-01 19:18:00,Inhaler
TECH-ORD-0178,Lucknow,C001,26.74142,85.07544,26.747146,85.079171,2024-06-01 23:02:00,2024-06-01 23:30:00,Face Mask
TECH-ORD-0179,Hyderabad,C018,14.430146,76.056315,14.436903,76.065794,2024-06-02 02:57:00,2024-06-02 03:15:00,Vitamins
TECH-ORD-0180,Hyderabad,C002,22.913561,76.45992,22.914573,76.464047,2024-06-03 01:18:00,2024-06-03 01:51:00,Sanitizer
TECH-ORD-0181,Pune,C003,27.827412,86.548056,27.836497,86.55171,2024-06-01 11:54:00,2024-06-01 12:04:00,Inhaler
TECH-ORD-0182,Pune,C008,24.328842,76.937381,24.335758,76.946193,2024-06-02 23:49:00,2024-06-03 00:05:00,Inhaler
TECH-ORD-0183,Ahmedabad,C009,26.595435,82.591795,26.598421,82.595214,2024-06-02 23:42:00,2024-06-03 00:17:00,Inhaler
TECH-ORD-0184,Delhi,C015,16.251288,84.055993,16.253131,84.058626,2024-06-01 20:37:00,2024-06-01 20:58:00,Glucose Meter
TECH-ORD-0185,Chennai,C019,20.449349,84.089153,20.451815,84.091752,2024-06-02 10:54:00,2024-06-02 11:16:00,Thermometer
TECH-ORD-0186,Mumbai,C005,13.675371,76.408944,13.677273,76.414685,2024-06-03 09:36:00,2024-06-03 09:46:00,Face Mask
TECH-ORD-0187,Lucknow,C004,18.628108,72.834652,18.634909,72.836046,2024-06-02 00:57:00,2024-06-02 01:12:00,Glucose Meter
TECH-ORD-0188,Hyderabad,C005,27.711142,82.024419,27.719267,82.0303,2024-06-02 07:06:00,2024-06-02 07:21:00,Inhaler
TECH-ORD-0189,Chennai,C005,20.281778,81.442598,20.285764,81.444988,2024-06-01 11:48:00,2024-06-01 12:32:00,BP Monitor
TECH-ORD-0190,Hyderabad,C018,14.48588,85.612241,14.491484,85.620769,2024-06-01 17:40:00,2024-06-01 17:50:00,Glucose Meter
TECH-ORD-0191,Chennai,C001,16.169203,78.623328,16.178499,78.630487,2024-06-03 06:52:00,2024-06-03 07:09:00,Thermometer
